time,value
1543256293,5.113
1543259893,5.118757
1543263493,5.086991
1543267093,5.503343
1543270693,5.565468
1543274293,5.513574
1543277893,5.549106
1543281493,5.477158
1543285093,5.511651
1543288693,5.113
1543292293,5.118757
1543295893,5.086991
1543299493,5.503343
1543303093,5.565468
1543306693,5.513574
1543310293,5.549106
1543313893,5.477158
1543317493,5.511651
1543321093,5.113
1543324693,5.118757
1543328293,5.086991
1543331893,5.503343
1543335493,5.565468
1543339093,5.513574
1543342693,5.549106
1543346293,5.477158
1543349893,5.511651
1543353493,5.113
1543357093,5.118757
1543360693,5.086991
1543364293,5.503343
1543367893,5.565468
1543371493,5.513574
1543375093,5.549106
1543378693,5.477158
1543382293,5.511651
1543385893,5.113
1543389493,5.118757
1543393093,5.086991
1543396693,5.503343
1543400293,5.565468
1543403893,5.513574
1543407493,5.549106
1543411093,5.477158
1543414693,5.511651
1543418293,5.477158
1543421893,5.511651
1543425493,5.511651
