time,value
1543256293,7.55
1543259893,7.53
1543263493,7.53
1543267093,8.53
1543270693,8.28
1543274293,8.28
1543277893,8.28
1543281493,8.28
1543285093,8.28
1543288693,8.53
1543292293,8.28
1543295893,8.28
1543299493,8.28
1543303093,8.28
1543306693,8.53
1543310293,8.28
1543313893,8.28
1543317493,8.28
1543321093,8.28
1543324693,8.53
1543328293,8.28
1543331893,8.28
1543335493,8.28
1543339093,8.53
1543342693,8.28
1543346293,8.28
1543349893,8.28
1543353493,8.28
1543357093,8.28
1543360693,8.53
1543364293,8.28
1543367893,8.28
1543371493,8.28
1543375093,8.28
1543378693,8.53
1543382293,8.28
1543385893,8.28
1543389493,8.28
1543393093,8.28
1543396693,8.53
1543400293,8.28
1543403893,8.28
1543407493,7.53
1543411093,8.12
1543414693,8.12
1543418293,8.12
1543421893,8.14
1543425493,8.12
